GreenCom;IEEE International Conference on Green Computing and Communications;B2
"16666038";JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY (LA PLATA. EN LÍNEA);nulo
SIN;International Conference on Security of Information and Networks;B1
"15361276";IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS;A1
"16735447";CHINA COMMUNICATIONS;A2
"14143283";INTERFACE (BOTUCATU. IMPRESSO);B1
"22381031";JOURNAL OF TRANSPORT LITERATURE;nulo
"19845146";REVISTA BRASILEIRA DE FINANÇAS: RBFIN = RBFIN: BRAZILIAN FINANCE REVIEW;nulo
"18951767";SCALABLE COMPUTING. PRACTICE AND EXPERIENCE;B2
"19430620";JOURNAL OF OPTICAL COMMUNICATIONS AND NETWORKING (PRINT);A1
DH;Digital Heritage;B1
ICCAD;IEEE/ACM International Conference on ComputerAided Design;A2
"1392124X";INFORMACINÉS TECHNOLOGIJOS IR VALDYMAS;B1
"15497747";IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS. II, EXPRESS BRIEFS;A2
"0066782X";ARQUIVOS BRASILEIROS DE CARDIOLOGIA (IMPRESSO);B1
INOC;International Network Optimization Conference;B3
WER;Workshop on Requirements Engineering;A4
"identificador";"nome";"avaliacao"
NESY@HLAI;Workshop on Neural-Symbolic Learning and Reasoning;B4
PST;International Conference on Privacy, Security and Trust;A4
ISPA;IEEE International Symposium on Parallel and Distributed Processing with Applications;B2
IIR;Italian Information Retrieval Workshop;B4
"08848173";INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS;A1
EICS;ACM SIGCHI Symposium on Engineering Interactive Computing Systems;A3
"09257721";COMPUTATIONAL GEOMETRY;A4
"15673200";REMOTE SENSING AND DIGITAL IMAGE PROCESSING;B1
"13867857";CLUSTER COMPUTING;B1
"15372456";INTERNATIONAL JOURNAL ON E-LEARNING;B2
"0103636X";BOLEMA. BOLETIM DE EDUCAÇÃO MATEMÁTICA (UNESP. RIO CLARO. IMPRESSO);B2
WP2P+;Workshop de Redes P2P, Dinâmicas, Sociais e Orientadas a Conteúdo;B4
SIED: EnPED;Simpósio Internacional de Educação a Distância e Encontro de Pesquisadores em Educação a Distância;B4
"08981221";COMPUTERS & MATHEMATICS WITH APPLICATIONS (1987);A2
PACTT;International Conference on Parallel Architectures and Compilation Techniques;A2
"02780062";IEEE TRANSACTIONS ON MEDICAL IMAGING (PRINT);A1
"22919279";JMIR SERIOUS GAMES;nulo
"10519815";WORK (READING, MA);A4
"15541010";JOURNAL OF INFORMATION ASSURANCE AND SECURITY;nulo
TIME;International Symposium on Temporal Representation and Reasoning;B1
"00011452";AIAA JOURNAL (PRINT);A2
"2236739X";RETEC REVISTA DE EXATAS E TECNOLÓGICAS;nulo
"13846175";GEOINFORMATICA (DORDRECHT);A2
MASCOTS;International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems;A4
UCAMI;International Conference on Ubiquitous Computing and Ambient Intelligence;B2
ESORICS;European Symposium on Research in Computer Security;A2
MESA;IEEE/ASME International Conference on Mechatronic and Embedded Systems and Applications;B4
"15710645";PHYSICS OF LIFE REVIEWS (PRINT);A1
"15725286";DISCRETE OPTIMIZATION;A4
DSN;Annual IEEE/IFIP International Conference on Dependable Systems and Networks;A2
"20464568";INTERNATIONAL JOURNAL FOR E-LEARNING SECURITY;nulo
"09168508";IEICE TRANSACTIONS ON FUNDAMENTALS OF ELECTRONICS, COMMUNICATIONS AND COMPUTER SCIENCE;B2
"16191366";SOFTWARE AND SYSTEMS MODELING;A2
SCCC;International Conference of the Chilean Computer Science Society;B3
"23941065";INTERNATIONAL JOURNAL OF COMPUTER SYSTEMS;nulo
"15730727";JOURNAL OF ELECTRONIC TESTING (DORDRECHT. ONLINE);B1
"13811231";JOURNAL OF HEURISTICS;A3
"00301299";OIKOS (KOBENHAVN);A1
SYSTOL;Conference on Control and Fault-Tolerant Systems;A4
"01004042";QUÍMICA NOVA (IMPRESSO);B2
"17410444";MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING (ONLINE);A3
VAST;IEEE Conference on Visual Analytics Science and Technology;A3
SERVICES;IEEE World Congress on Services;A4
"20782489";INFORMATION;B1
"15732916";JOURNAL OF GLOBAL OPTIMIZATION (DORDRECHT. ONLINE);A2
Matheuristics;International Workshop on Model-based metaheuristics;B4
"22279709";INFORMATICS;A2
AISEC;ACM Workshop on Artificial Intelligence and Security;A4
"15734277";OPTICAL SWITCHING AND NETWORKING (PRINT);A3
"03062619";APPLIED ENERGY;A1
"19835930";CULTURAS MIDIÁTICAS;nulo
"18090044";REVISTA TECNOLOGIA E SOCIEDADE;nulo
CCIS;Conference of Computational Interdisciplinary Science;B4
"23773766";IEEE ROBOTICS AND AUTOMATION LETTERS;A1
"19367406";ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS;A3
JURIX;International Conference on Legal Knowledge and Information Systems;B2
"15293785";ACM TRANSACTIONS ON COMPUTATIONAL LOGIC;A2
CBSE;International ACM Sigsoft Symposium on Component-Based Software Engineering;B1
"16609336";APPLIED MECHANICS AND MATERIALS;nulo
"01419331";MICROPROCESSORS AND MICROSYSTEMS;A4
"22381171";REVISTA DE CIÊNCIAS AGROVETERINÁRIAS;B3
"02331934";OPTIMIZATION (PRINT);A3
"15731367";SOFTWARE QUALITY JOURNAL (ONLINE);A2
IGIC;IEEE International Games Innovation Conference;B3
WNAA;Workshop de Nanotecnologia Aplicada ao Agronegócio;B4
ISC;International Supercomputing Conference;A3
"09241868";USER MODELING AND USER-ADAPTED INTERACTION;A1
FGR;IEEE International Conference on Automatic Face and Gesture Recognition;A1
"19835604";REVISTA DE SISTEMAS DE INFORMAÇÃO DA FSMA;nulo
IoTBDS;International Conference on Internet of Things and Big Data and Security;B2
MSST;IEEE Symposium on Mass Storage Systems and Technologies;A3
SECRYPT;International Conference on Security and Cryptography;B1
ICN-IARIA;IARIA International Conference on Networks;B4
ICUAS;International Conference on Unmanned Aircraft Systems;A2
PACIS;Pacific Asia Conference on Information Systems;A3
NOC;European Conference on Networks and Optical Communications;B2
"15415856";LIMNOLOGY AND OCEANOGRAPHY, METHODS;A2
P2P;International Conference on Peer-to-Peer Computing;B2
"0001706X";ACTA TROPICA;A1
"16878450";JOURNAL OF ONCOLOGY;B3
GPC;International Conference on Grid And Pervasive Computing;B2
"03014215";ENERGY POLICY;A1
LASCAS;IEEE Latin American Symposium on Circuits and Systems;B1
"14137895";IRRIGA (UNESP BOTUCATU);B2
IPCCC;International Performance, Computing, and Communications Conference;B1
"00261270";METHODS OF INFORMATION IN MEDICINE;A1
"18085377";INFODESIGN (SBDI. ONLINE);nulo
ICAART;International Conference on Agents and Artificial Intelligence;B1
ParCO;International Conference on Parallel Computing;B1
"14358603";PLANT BIOLOGY (STUTTGART);A2
"1748670X";COMPUTATIONAL AND MATHEMATICAL METHODS IN MEDICINE (PRINT);A2
"01035150";FISIOTERAPIA EM MOVIMENTO (PUCPR. IMPRESSO);nulo
HASE;IEEE International Symposium on High Assurance Systems Engineering;A4
AH;Augmented Human International Conference;A3
PSCC;Power Systems Computation Conference;A3
